OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id
"629",-27.8073920721,119.555334753,281205.572638,"214","124",AUS.WA.MUR,Murchison,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"630",-15.4042207999,126.128617841,83889.2042593,"254","125",AUS.WA.NK,Northern Kimberley,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"631",-30.6626736692,126.526420728,137360.412211,"112","126",AUS.WA.NUL,Nullarbor,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"632",-18.3278313384,127.443213849,54978.832225,"125","127",AUS.WA.OVP,Ord Victoria Plain,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"633",-21.9100655754,118.543318562,178531.945026,"199","128",AUS.WA.PIL,Pilbara,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"634",-31.6197131922,115.69620882,15124.2882513,"1635","129",AUS.WA.SWA,Swan Coastal Plain,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"635",-19.8165555055,128.277063663,30155.6654206,"18","130",AUS.WA.TAN,Tanami,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"636",-15.7452665231,128.467634018,18724.3487295,"329","131",AUS.WA.VB,Victoria Bonaparte,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"637",-34.5792635803,116.222843661,8441.53225866,"927","132",AUS.WA.WAR,Warren,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"638",-28.4907825314,116.599551615,42542.8954941,"167","133",AUS.WA.YAL,Yalgoo,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"639",-28.6709367244,113.877351705,0.09612830725,"8","134",AUS.WHI,White Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"640",-28.7507676404,113.806094283,0.16415708505,"11","135",AUS.WI,Wooded Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"641",-28.4650403183,113.69469028,6.42657738889,"24","136",AUS.WWI,West Wallabi Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"1","2","84"
"1026",-29.0325793274,167.952265575,37.8765603163,"273","516",NFK,Norfolk Island,"1",NFK-NI,Norfolk I.,NFK,"50","5",Australasia,NFK,Norfolk Island,"3","2","51"
"1035",-41.8295221976,171.470685959,268494.582574,"1775","525",NZL,New Zealand,"1",000-05,New Zealand,"5","51","5",Australasia,NZL,New Zealand,"3","2","25"
"1036",-50.7364843077,166.097263294,599.919353376,"60","526",NZL.AUC,Auckland Islands,"1",ATP-OO,Antipodean Is.,ATP,"51","5",Australasia,NZL,New Zealand,"2","2","2364"
"1037",-43.9384848553,-176.525216047,819.510817549,"584","527",NZL.CI,Chatham Islands,"1",CTM-OO,Chatham Is.,CTM,"51","5",Australasia,NZL,New Zealand,"3","0","2400"
"546",-12.265762279,123.078300815,17.8360198213,"4","39",AUS.AR,Ashmore Reef,"1",WAU-AC,Ashmore-Cartier Is.,WAU,"50","5",Australasia,AUS,Australia,"2","2","66"
"1530",-46.9797800756,167.902646293,1618.92426135,"209","1258",NZL.STI,New Zealand Stewart Island,"1",NZS-OO,New Zealand South,NZS,"51","5",Australasia,NZL,New Zealand,"3","0","2400"
"1528",-38.5810744352,175.730479748,114432.43908,"1576","1256",NZL.NOI,New Zealand North Island,"1",NZN-OO,New Zealand North,NZN,"51","5",Australasia,NZL,New Zealand,"3","0","2400"
"1529",-43.9824509482,170.518768945,150795.961412,"1378","1257",NZL.SOI,New Zealand South Island (without Stewart Island etc.),"1",NZS-OO,New Zealand South,NZS,"51","5",Australasia,NZL,New Zealand,"3","0","2400"
