OBJIDsic,Region_unique,yearGDP,GDPpcRegion
1117,PYF_Mopelia_1117,2010,23583.00
1116,PYF_Moorea_1116,2010,23583.00
1115,PYF_Mehetia_1115,,uninhabited
1114,PYF_Maupiti_1114,2010,23583.00
1113,PYF_Maiao_1113,2010,23583.00
1112,PYF_Huahine_1112,2010,23583.00
1098,PYF_Henderson_1098,,uninhabited
155,PYF_Gambier_Islands_155,2010,23583.00
152,PYF_French_Polynesia_152,2010,25975.90
1111,PYF_Bora_Bora_1111,2010,23583.00
1086,PYF_Bellingshausen_1086,,uninhabited
1079,PYF_Agakauitai_1079,,uninhabited
351,PSE_Palestina_351,,
354,PRY_Paraguay_354,2008,3768.36
453,PRT_Terceira_453,2010,19785.70
406,PRT_Sao_Miguel_406,2010,19785.70
405,PRT_Sao_Jorge_405,2010,19785.70
399,PRT_Santa_Maria_399,2010,19785.70
1078,PRT_Salvage_Islands_1078,,uninhabited
1361,PRT_Portugal_mainland_1361,2010,19785.70
1073,PRT_Portugal_1073,2010,19785.70
1077,PRT_Porto_Santo_1077,2010,19785.70
359,PRT_Pico_359,2010,19785.70
1076,PRT_Madeira_1076,2010,19785.70
160,PRT_Graciosa_160,2010,19785.70
146,PRT_Flores_146,2010,19785.70
132,PRT_Faial_132,2010,19785.70
1075,PRT_Desertas_1075,,uninhabited
102,PRT_Corvo_102,2010,19785.70
1074,PRT_Azores_1074,2010,19785.70
1072,PRK_North_Korea_1072,2013,1800.00
291,PRI_Monito_291,,
289,PRI_Mona_289,,
267,PRI_Magueyes_267,,
182,PRI_Icacos_182,,
114,PRI_Desecheo_114,,
108,PRI_Culebra_108,,
74,PRI_Cayo_Santiago_74,,
65,PRI_Caja_de_Muertos_65,,
1070,POL_Poland_1070,2010,16700.90
353,PNG_Papua_New_Guinea_353,2010,1418.90
350,PLW_Palau_350,2010,9004.60
1069,PHL_Philippines_1069,2010,3193.63
1068,PER_Peru_1068,2010,7410.98
1067,PAN_Panama_1067,2008,10188.04
349,PAK_Pakistan_349,2005,2025.75
329,OMN_Oman_329,2010,20922.70
355,NZL_Pararaki_355,,uninhabited
1026,NZL_Norfolk_Island_1026,2010,33394.10
311,NZL_Niue_311,2010,33394.10
1035,NZL_New_Zealand_1035,2010,33394.10
297,NZL_Moturoa_297,2010,33394.10
296,NZL_Motuotamatea_296,2010,33394.10
295,NZL_Motumahanga_295,2010,33394.10
260,NZL_Lizard_Island_260,2010,33394.10
227,NZL_Kermadec_Island_227,,uninhabited
134,NZL_Fanal_Island_134,2010,33394.10
1037,NZL_Chatham_Islands_1037,2010,33394.10
67,NZL_Campbell_Island_67,,uninhabited
1036,NZL_Auckland_Islands_1036,,uninhabited
20,NZL_Aorangi_20,2010,33394.10
1034,NRU_Nauru_1034,2010,6233.90
1033,NPL_Nepal_1033,2006,999.76
1032,NOR_Svalbard_1032,2010,36582.98
1030,NOR_Norway_1030,2010,50490.91
1031,NOR_Jan_Mayen_1031,2010,36582.98
647,NLD_St_Eustatius_647,2010,18090.40
648,NLD_Saba_648,2010,18090.40
305,NLD_Netherlands_Antilles_305,2010,18090.40
1029,NLD_Netherlands_1029,2010,38189.65
646,NLD_Bonaire_646,2010,18090.40
1028,NIC_Nicaragua_1028,2005,2189.42
1027,NGA_Nigeria_1027,2008,1929.38
1025,NER_Niger_1025,2005,502.51
1023,NAM_Namibia_1023,2005,4244.89
1022,MYS_Penninsular_Malaysia_1022,2010,11961.50
270,MYS_Malaysia_270,2010,11961.50
1021,MWI_Malawi_1021,2005,481.42
373,MUS_Rodrigues_373,2010,7772.10
1020,MUS_Mauritius_1020,2010,7772.10
507,MTQ_GLP_Martinique_and_Guadeloupe_507,2010,35008.00
1017,MRT_Mauritania_1017,2010,1201.80
1014,MOZ_Zambezia_1014,2009,423.00
1016,MOZ_Tete_1016,2009,514.00
1015,MOZ_Sofala_1015,2009,1150.00
1007,MOZ_Niassa_1007,2009,423.58
1012,MOZ_Nampula_1012,2009,551.00
299,MOZ_Mozambique_299,2009,755.00
1011,MOZ_Maputo_1011,2009,2033.00
1008,MOZ_Manica_1008,2009,573.00
1010,MOZ_Inhambane_1010,2009,860.00
1009,MOZ_Gaza_1009,2009,678.00
1013,MOZ_Cabo_Delgado_1013,2009,475.00
290,MNG_Mongolia_290,2010,3522.56
294,MNE_Montenegro_294,2010,6636.90
301,MMR_Myanmar_301,2012,1421.50
993,MLT_Malta_993,2010,19694.10
